النشاط,العام,"حجم المنشأة","عدد المنشآت"
"البرمجة الحاسوبية",2010,"‏4-1 موظفين",182
"البرمجة الحاسوبية",2010,"‏19-5 موظف",168
"البرمجة الحاسوبية",2010,"‏20+ موظف",59
"البرمجة الحاسوبية",2011,"‏20+ موظف",60
"البرمجة الحاسوبية",2011,"‏4-1 موظفين",185
"البرمجة الحاسوبية",2011,"‏19-5 موظف",179
"البرمجة الحاسوبية",2012,"‏19-5 موظف",190
"البرمجة الحاسوبية",2012,"‏20+ موظف",63
"البرمجة الحاسوبية",2012,"‏4-1 موظفين",194
"البرمجة الحاسوبية",2013,"‏19-5 موظف",191
"البرمجة الحاسوبية",2013,"‏20+ موظف",66
"البرمجة الحاسوبية",2013,"‏4-1 موظفين",202
"البرمجة الحاسوبية",2014,"‏20+ موظف",73
"البرمجة الحاسوبية",2014,"‏4-1 موظفين",226
"البرمجة الحاسوبية",2014,"‏19-5 موظف",211
"البرمجة الحاسوبية",2015,"‏20+ موظف",81
"البرمجة الحاسوبية",2015,"‏4-1 موظفين",226
"البرمجة الحاسوبية",2015,"‏19-5 موظف",228
"البرمجة الحاسوبية",2016,"‏19-5 موظف",229
"البرمجة الحاسوبية",2016,"‏20+ موظف",85
"البرمجة الحاسوبية",2016,"‏4-1 موظفين",235
"البرمجة الحاسوبية",2017,"‏20+ موظف",86
"البرمجة الحاسوبية",2017,"‏4-1 موظفين",243
"البرمجة الحاسوبية",2017,"‏19-5 موظف",233
"البرمجة الحاسوبية",2018,"‏20+ موظف",86
"البرمجة الحاسوبية",2018,"‏4-1 موظفين",244
"البرمجة الحاسوبية",2018,"‏19-5 موظف",235
"خدمات المعلومات",2010,"‏20+ موظف",18
"خدمات المعلومات",2010,"‏4-1 موظفين",168
"خدمات المعلومات",2010,"‏19-5 موظف",69
"خدمات المعلومات",2011,"‏20+ موظف",18
"خدمات المعلومات",2011,"‏4-1 موظفين",179
"خدمات المعلومات",2011,"‏19-5 موظف",71
"خدمات المعلومات",2012,"‏19-5 موظف",73
"خدمات المعلومات",2012,"‏20+ موظف",19
"خدمات المعلومات",2012,"‏4-1 موظفين",185
"خدمات المعلومات",2013,"‏4-1 موظفين",197
"خدمات المعلومات",2013,"‏19-5 موظف",77
"خدمات المعلومات",2013,"‏20+ موظف",20
"خدمات المعلومات",2014,"‏20+ موظف",23
"خدمات المعلومات",2014,"‏4-1 موظفين",219
"خدمات المعلومات",2014,"‏19-5 موظف",85
"خدمات المعلومات",2015,"‏19-5 موظف",94
"خدمات المعلومات",2015,"‏20+ موظف",26
"خدمات المعلومات",2015,"‏4-1 موظفين",219
"خدمات المعلومات",2016,"‏4-1 موظفين",233
"خدمات المعلومات",2016,"‏19-5 موظف",99
"خدمات المعلومات",2016,"‏20+ موظف",27
"خدمات المعلومات",2017,"‏20+ موظف",28
"خدمات المعلومات",2017,"‏4-1 موظفين",235
"خدمات المعلومات",2017,"‏19-5 موظف",100
"خدمات المعلومات",2018,"‏19-5 موظف",99
"خدمات المعلومات",2018,"‏20+ موظف",28
"خدمات المعلومات",2018,"‏4-1 موظفين",233
"إنتاج الأفلام",2010,"‏20+ موظف",10
"إنتاج الأفلام",2010,"‏4-1 موظفين",117
"إنتاج الأفلام",2010,"‏19-5 موظف",33
"إنتاج الأفلام",2011,"‏19-5 موظف",33
"إنتاج الأفلام",2011,"‏20+ موظف",10
"إنتاج الأفلام",2011,"‏4-1 موظفين",117
"إنتاج الأفلام",2012,"‏19-5 موظف",35
"إنتاج الأفلام",2012,"‏20+ موظف",11
"إنتاج الأفلام",2012,"‏4-1 موظفين",121
"إنتاج الأفلام",2013,"‏20+ موظف",11
"إنتاج الأفلام",2013,"‏4-1 موظفين",125
"إنتاج الأفلام",2013,"‏19-5 موظف",37
"إنتاج الأفلام",2014,"‏19-5 موظف",41
"إنتاج الأفلام",2014,"‏20+ موظف",13
"إنتاج الأفلام",2014,"‏4-1 موظفين",133
"إنتاج الأفلام",2015,"‏19-5 موظف",45
"إنتاج الأفلام",2015,"‏20+ موظف",15
"إنتاج الأفلام",2015,"‏4-1 موظفين",133
"إنتاج الأفلام",2016,"‏20+ موظف",15
"إنتاج الأفلام",2016,"‏4-1 موظفين",137
"إنتاج الأفلام",2016,"‏19-5 موظف",48
"إنتاج الأفلام",2017,"‏20+ موظف",16
"إنتاج الأفلام",2017,"‏4-1 موظفين",140
"إنتاج الأفلام",2017,"‏19-5 موظف",49
"إنتاج الأفلام",2018,"‏19-5 موظف",49
"إنتاج الأفلام",2018,"‏20+ موظف",16
"إنتاج الأفلام",2018,"‏4-1 موظفين",138
"البرمجة والإذاعة",2010,"‏20+ موظف",8
"البرمجة والإذاعة",2010,"‏4-1 موظفين",213
