"الإيرادات التشغيلية","النفقات التشغيلية","عدد الموظفين","عدد المنشآت","الأرباح التشغيلية",النشاط,العام,"حجم المنشأة"
2036562000,934686000,3830,59,1101876000,"البرمجة الحاسوبية",2010,"‏20+ موظف"
179833000,78242000,431,182,101591000,"البرمجة الحاسوبية",2010,"‏4-1 موظفين"
582484000,349318000,1418,168,233166000,"البرمجة الحاسوبية",2010,"‏19-5 موظف"
638991000,370777000,1509,179,268214000,"البرمجة الحاسوبية",2011,"‏19-5 موظف"
2103429000,951399000,3912,60,1152030000,"البرمجة الحاسوبية",2011,"‏20+ موظف"
188475000,79503000,438,185,108972000,"البرمجة الحاسوبية",2011,"‏4-1 موظفين"
209343000,83085000,459,194,126258000,"البرمجة الحاسوبية",2012,"‏4-1 موظفين"
717998000,392681000,1601,190,325317000,"البرمجة الحاسوبية",2012,"‏19-5 موظف"
2308287000,995982000,4111,63,1312305000,"البرمجة الحاسوبية",2012,"‏20+ موظف"
2651877000,859795000,4273,66,1792082000,"البرمجة الحاسوبية",2013,"‏20+ موظف"
220024000,87825000,478,202,132199000,"البرمجة الحاسوبية",2013,"‏4-1 موظفين"
797985000,401384000,1615,191,396601000,"البرمجة الحاسوبية",2013,"‏19-5 موظف"
827812000,421134000,1779,211,406678000,"البرمجة الحاسوبية",2014,"‏19-5 موظف"
2741006000,1116763000,4730,73,1624243000,"البرمجة الحاسوبية",2014,"‏20+ موظف"
227489000,93866000,535,226,133623000,"البرمجة الحاسوبية",2014,"‏4-1 موظفين"
248916000,102703000,572,226,146213000,"البرمجة الحاسوبية",2015,"‏4-1 موظفين"
867199000,467420000,1922,228,399779000,"البرمجة الحاسوبية",2015,"‏19-5 موظف"
2872334000,1218894000,5066,81,1653440000,"البرمجة الحاسوبية",2015,"‏20+ موظف"
3859445000,2220563000,5347,85,1638882000,"البرمجة الحاسوبية",2016,"‏20+ موظف"
255980000,103492000,604,235,152488000,"البرمجة الحاسوبية",2016,"‏4-1 موظفين"
868592000,476177000,1972,229,392415000,"البرمجة الحاسوبية",2016,"‏19-5 موظف"
940618000,487889000,2017,233,452729000,"البرمجة الحاسوبية",2017,"‏19-5 موظف"
4175079000,2275597000,5426,86,1899482000,"البرمجة الحاسوبية",2017,"‏20+ موظف"
277358000,106047000,623,243,171311000,"البرمجة الحاسوبية",2017,"‏4-1 موظفين"
279529000,106608000,687,244,172921000,"البرمجة الحاسوبية",2018,"‏4-1 موظفين"
963214000,498510000,2640,235,464704000,"البرمجة الحاسوبية",2018,"‏19-5 موظف"
4304401000,2390953000,7256,86,1913448000,"البرمجة الحاسوبية",2018,"‏20+ موظف"
95414000,63436000,578,69,31978000,"خدمات المعلومات",2010,"‏19-5 موظف"
280152000,115620000,950,18,164532000,"خدمات المعلومات",2010,"‏20+ موظف"
39746000,21980000,388,168,17766000,"خدمات المعلومات",2010,"‏4-1 موظفين"
43095000,23359000,413,179,19736000,"خدمات المعلومات",2011,"‏4-1 موظفين"
97684000,64900000,591,71,32784000,"خدمات المعلومات",2011,"‏19-5 موظف"
284885000,117521000,970,18,167364000,"خدمات المعلومات",2011,"‏20+ موظف"
208287000,124142000,1024,19,84145000,"خدمات المعلومات",2012,"‏20+ موظف"
46212000,24258000,428,185,21954000,"خدمات المعلومات",2012,"‏4-1 موظفين"
104718000,66648000,608,73,38070000,"خدمات المعلومات",2012,"‏19-5 موظف"
106950000,71470000,643,77,35480000,"خدمات المعلومات",2013,"‏19-5 موظف"
222768000,132396000,1076,20,90372000,"خدمات المعلومات",2013,"‏20+ موظف"
51183000,26069000,454,197,25114000,"خدمات المعلومات",2013,"‏4-1 موظفين"
108159000,76555000,716,85,31604000,"خدمات المعلومات",2014,"‏19-5 موظف"
336072000,143297000,1230,23,192775000,"خدمات المعلومات",2014,"‏20+ موظف"
52726000,28114000,506,219,24612000,"خدمات المعلومات",2014,"‏4-1 موظفين"
259627000,159160000,1324,26,100467000,"خدمات المعلومات",2015,"‏20+ موظف"
57944000,30838000,547,219,27106000,"خدمات المعلومات",2015,"‏4-1 موظفين"
123536000,83224000,763,94,40312000,"خدمات المعلومات",2015,"‏19-5 موظف"
116394000,88344000,763,99,28050000,"خدمات المعلومات",2016,"‏19-5 موظف"
304035000,161143000,1378,27,142892000,"خدمات المعلومات",2016,"‏20+ موظف"
49118000,30626000,587,233,18492000,"خدمات المعلومات",2016,"‏4-1 موظفين"
125863000,79002000,797,100,46861000,"خدمات المعلومات",2017,"‏19-5 موظف"
325747000,144268000,1406,28,181479000,"خدمات المعلومات",2017,"‏20+ موظف"
53172000,27309000,616,235,25863000,"خدمات المعلومات",2017,"‏4-1 موظفين"
338404000,151877000,2036,28,186527000,"خدمات المعلومات",2018,"‏20+ موظف"
56201000,28933000,741,233,27268000,"خدمات المعلومات",2018,"‏4-1 موظفين"
127573000,79395000,1045,99,48178000,"خدمات المعلومات",2018,"‏19-5 موظف"
28784000,14872000,285,33,13912000,"إنتاج الأفلام",2010,"‏19-5 موظف"
57880000,30776000,396,10,27104000,"إنتاج الأفلام",2010,"‏20+ موظف"
28015000,13973000,249,117,14042000,"إنتاج الأفلام",2010,"‏4-1 موظفين"
28209000,14602000,250,117,13607000,"إنتاج الأفلام",2011,"‏4-1 موظفين"
30972000,15529000,288,33,15443000,"إنتاج الأفلام",2011,"‏19-5 موظف"
62451000,31720000,405,10,30731000,"إنتاج الأفلام",2011,"‏20+ موظف"
70257000,33428000,428,11,36829000,"إنتاج الأفلام",2012,"‏20+ موظف"
30189000,15138000,257,121,15051000,"إنتاج الأفلام",2012,"‏4-1 موظفين"
34442000,16221000,301,35,18221000,"إنتاج الأفلام",2012,"‏19-5 موظف"
36749000,17329000,318,37,19420000,"إنتاج الأفلام",2013,"‏19-5 موظف"
77200000,35646000,451,11,41554000,"إنتاج الأفلام",2013,"‏20+ موظف"
31948000,15819000,266,125,16129000,"إنتاج الأفلام",2013,"‏4-1 موظفين"
32711000,16292000,283,133,16419000,"إنتاج الأفلام",2014,"‏4-1 موظفين"
38439000,18662000,354,41,19777000,"إنتاج الأفلام",2014,"‏19-5 موظف"
84325000,38870000,524,13,45455000,"إنتاج الأفلام",2014,"‏20+ موظف"
90326000,43509000,565,15,46817000,"إنتاج الأفلام",2015,"‏20+ موظف"
34550000,17324000,298,133,17226000,"إنتاج الأفلام",2015,"‏4-1 موظفين"
41391000,20195000,378,45,21196000,"إنتاج الأفلام",2015,"‏19-5 موظف"
41768000,20232000,410,48,21536000,"إنتاج الأفلام",2016,"‏19-5 موظف"
82190000,41466000,598,15,40724000,"إنتاج الأفلام",2016,"‏20+ موظف"
40071000,18886000,317,137,21185000,"إنتاج الأفلام",2016,"‏4-1 موظفين"
43954000,17675000,334,140,26279000,"إنتاج الأفلام",2017,"‏4-1 موظفين"
46167000,18749000,432,49,27418000,"إنتاج الأفلام",2017,"‏19-5 موظف"
88297000,38610000,616,16,49687000,"إنتاج الأفلام",2017,"‏20+ موظف"
88805000,40429000,892,16,48376000,"إنتاج الأفلام",2018,"‏20+ موظف"
45045000,17927000,349,138,27118000,"إنتاج الأفلام",2018,"‏4-1 موظفين"
49020000,18940000,523,49,30080000,"إنتاج الأفلام",2018,"‏19-5 موظف"
72089000,50092000,451,213,21997000,"البرمجة والإذاعة",2010,"‏4-1 موظفين"
34038000,16366000,193,24,17672000,"البرمجة والإذاعة",2010,"‏19-5 موظف"
72291000,42218000,408,8,30073000,"البرمجة والإذاعة",2010,"‏20+ موظف"
75904000,43990000,425,8,31914000,"البرمجة والإذاعة",2011,"‏20+ موظف"
73470000,50348000,454,214,23122000,"البرمجة والإذاعة",2011,"‏4-1 موظفين"
35402000,16903000,198,25,18499000,"البرمجة والإذاعة",2011,"‏19-5 موظف"
38173000,18250000,214,27,19923000,"البرمجة والإذاعة",2012,"‏19-5 موظف"
85937000,46931000,454,9,39006000,"البرمجة والإذاعة",2012,"‏20+ موظف"
82056000,53570000,483,228,28486000,"البرمجة والإذاعة",2012,"‏4-1 موظفين"
84459000,56209000,499,236,28250000,"البرمجة والإذاعة",2013,"‏4-1 موظفين"
40460000,19085000,221,27,21375000,"البرمجة والإذاعة",2013,"‏19-5 موظف"
95069000,49510000,472,9,45559000,"البرمجة والإذاعة",2013,"‏20+ موظف"
104165000,54145000,556,11,50020000,"البرمجة والإذاعة",2014,"‏20+ موظف"
88504000,61349000,570,269,27155000,"البرمجة والإذاعة",2014,"‏4-1 موظفين"
43329000,20793000,260,32,22536000,"البرمجة والإذاعة",2014,"‏19-5 موظف"
49139000,23483000,281,38,25656000,"البرمجة والإذاعة",2015,"‏19-5 موظف"
112930000,61500000,605,13,51430000,"البرمجة والإذاعة",2015,"‏20+ موظف"
98509000,67012000,608,270,31497000,"البرمجة والإذاعة",2015,"‏4-1 موظفين"
48650000,22561000,298,38,26089000,"البرمجة والإذاعة",2016,"‏19-5 موظف"
102676000,57477000,646,13,45199000,"البرمجة والإذاعة",2016,"‏20+ موظف"
102596000,68437000,648,279,34159000,"البرمجة والإذاعة",2016,"‏4-1 موظفين"
110088000,60207000,653,13,49881000,"البرمجة والإذاعة",2017,"‏20+ موظف"
111602000,71778000,666,384,39824000,"البرمجة والإذاعة",2017,"‏4-1 موظفين"
53531000,23543000,311,40,29988000,"البرمجة والإذاعة",2017,"‏19-5 موظف"
114909000,63354000,798,13,51555000,"البرمجة والإذاعة",2018,"‏20+ موظف"
116448000,73153000,747,387,43295000,"البرمجة والإذاعة",2018,"‏4-1 موظفين"
55106000,23435000,330,40,31671000,"البرمجة والإذاعة",2018,"‏19-5 موظف"
225911000,149773000,1570,183,76138000,النشر,2010,"‏19-5 موظف"
2530247000,1360267000,6750,50,1169980000,النشر,2010,"‏20+ موظف"
97666000,41971000,648,321,55695000,النشر,2010,"‏4-1 موظفين"
